id,time,lng,lat,district,subway,price_per_square,total_price,year,month
BJTJ91544616,2016-03-07,116.664848,39.942927,11,0.0,22630,259.0,2016,2016-03
BJCY88771634,2015-12-18,116.432802,40.043409,7,0.0,41389,267.0,2015,2015-12
BJXC89132104,2015-09-08,116.35835,39.9201,10,1.0,63684,370.0,2015,2015-09
101100342054,2016-08-31,116.643924,39.889841,11,0.0,42719,220.0,2016,2016-08
101091138411,2016-06-25,116.45831,39.923422,7,1.0,61053,348.0,2016,2016-06
101100678092,2016-10-28,116.616422,39.931941,7,1.0,42808,305.0,2016,2016-10
BJCP85086626,2013-03-10,116.43942,40.072066,6,0.0,15991,240.0,2013,2013-03
BJHD90081267,2015-12-21,116.275723,40.046164,8,0.0,67955,1590.0,2015,2015-12
BJXC86455959,2013-10-07,116.368968,39.944401,10,1.0,65522,496.0,2013,2013-10
BJCP89976279,2015-08-22,116.415343,40.075533,6,1.0,23617,216.0,2015,2015-08
BJXC90404780,2015-11-08,116.395202,39.961718,10,1.0,79925,852.0,2015,2015-11
BJCY89836883,2015-07-29,116.421876,40.008585,7,1.0,46438,378.0,2015,2015-07
BJCP90555674,2015-11-29,116.232119,40.223852,6,1.0,21911,91.5,2015,2015-11
101101665313,2017-09-10,116.475046,39.88209,7,1.0,61948,350.5,2017,2017-09
101090110691,2017-01-07,116.387037,39.95917,10,1.0,126250,644.0,2017,2017-01
BJCP86315480,2013-10-07,116.422295,40.133927,6,0.0,24013,208.0,2013,2013-10
101100555052,2016-10-29,116.247008,39.906426,9,0.0,64668,373.0,2016,2016-10
BJCY89377436,2015-05-09,116.443977,39.967084,7,1.0,37929,227.0,2015,2015-05
101100326569,2016-08-05,116.377942,39.847498,2,1.0,44325,164.0,2016,2016-08
101102287974,2018-01-02,116.423115,39.676405,4,0.0,26184,230.0,2018,2018-01
BJHD91736650,2016-04-10,116.327941,39.934006,8,1.0,81483,675.0,2016,2016-04
BJHD89357533,2015-06-13,116.320453,40.039032,8,1.0,74356,548.0,2015,2015-06
101100707107,2016-10-12,116.273525,39.912989,8,1.0,105264,420.0,2016,2016-10
BJCY85752039,2013-09-11,116.480675,39.868869,7,0.0,35288,180.0,2013,2013-09
BJCY89183583,2015-11-03,116.475833,40.01461,7,1.0,48561,830.0,2015,2015-11
BJCY92120577,2016-05-21,116.464926,39.88896,7,1.0,41883,243.0,2016,2016-05
101100655148,2016-10-06,116.613895,39.894341,7,0.0,40000,404.0,2016,2016-10
101100241713,2016-06-30,116.480977,39.886406,7,1.0,48909,325.0,2016,2016-06
BJHD90928905,2015-12-09,116.290346,39.917873,8,1.0,65299,700.0,2015,2015-12
101102221868,2017-12-03,116.31905,39.992388,8,1.0,85595,410.0,2017,2017-12
BJTJ86301007,2013-12-06,116.693646,39.944018,11,0.0,20700,207.0,2013,2013-12
